Year     LWRs  SFRs
2005     0     0
2006     0     0
2007     0     0
2008     0     0
2009     0     0
2010     0     0
2011     0     0
2012     0     0
2013     0     0
2014     0     0
2015     0     0
2016     1     0
2017     2     0
2018     1     0
2019     1     0
2020     1     0
2021     1     0
2022     1     0
2023     1     0
2024     1     0
2025     1     0
2026     1     0
2027     1     0
2028     1     0
2029     1     0
2030     2     0
2031     6     0
2032     6     0
2033     6     0
2034     6     0
2035     7     0
2036     6     0
2037     6     0
2038     6     0
2039     6     0
2040     7     0
2041     1     0
2042     1     0
2043     2     0
2044     1     0
2045     1     0
2046     2     0
2047     1     0
2048     1     0
2049     2     0
2050     0     2
2051     0     4
2052     0     3
2053     0     4
2054     0     4
2055     0     3
2056     0     4
2057     0     4
2058     0     3
2059     0     4
2060     0     4
2061     0     17
2062     0     16
2063     0     17
2064     0     16
2065     0     17
2066     0     16
2067     0     17
2068     0     17
2069     0     16
2070     0     17
2071     2     1
2072     2     0
2073     1     0
2074     1     2
2075     0     4
2076     0     5
2077     0     4
2078     0     5
2079     0     5
2080     0     4
2081     0     5
2082     0     5
2083     0     5
2084     0     5
2085     0     5
2086     0     5
2087     0     5
2088     0     5
2089     0     5
2090     0     5
2091     0     6
2092     0     5
2093     0     5
2094     0     6
2095     0     5
2096     0     8
2097     0     11
2098     0     8
2099     0     8
2100     0     8
2101     0     9
2102     0     8
2103     0     9
2104     0     8
2105     0     9
2106     0     8
2107     0     9
2108     0     9
2109     0     9
2110     0     11
2111     0     21
2112     0     22
2113     0     21
2114     6     9
2115     8     3
2116     7     5
2117     6     6
2118     5     9
2119     5     11
2120     5     13
2121     0     7
2122     0     9
2123     0     13
2124     0     10
2125     0     9
2126     0     13
2127     0     10
2128     0     10
2129     0     13
2130     0     10
2131     0     11
2132     0     11
2133     0     12
2134     0     12
2135     0     12
2136     0     12
2137     0     12
2138     0     12
2139     0     12
2140     0     13
2141     0     25
2142     0     25
2143     0     26
2144     2     22
2145     3     19
2146     1     21
2147     2     22
2148     0     25
2149     0     25
2150     0     26
2151     0     16
2152     0     15
2153     0     12
2154     0     14
2155     0     14
2156     0     15
2157     0     15
2158     0     15
2159     0     15
2160     0     15
2161     0     15
2162     0     16
2163     0     16
2164     0     16
2165     0     16
2166     0     16
2167     0     16
2168     0     16
2169     0     17
2170     0     16
2171     0     18
2172     0     17
2173     0     17
2174     0     18
2175     0     17
2176     0     20
2177     0     24
2178     0     20
2179     0     21
2180     0     21
2181     0     22
2182     0     21
2183     0     22
2184     0     21
2185     0     22
2186     0     22
2187     0     23
2188     0     23
2189     0     23
2190     0     25
2191     0     35
2192     0     36
2193     0     36
2194     0     39
2195     0     37
2196     0     38
2197     0     36
2198     0     37
2199     0     39
2200     0     41
2201     0     23
2202     0     25
2203     0     29
2204     0     26
2205     0     25
