Year            Number Retired
2015            0
2016            0
2017            0
2018            0
2019            0
2020            0
2021            0
2022            0
2023            0
2024            0
2025            0
2026            0
2027            0
2028            0
2029            0
2030            0
2031            5
2032            5
2033            5
2034            5
2035            5
2036            5
2037            5
2038            5
2039            5
2040            5
2041            0
2042            0
2043            0
2044            0
2045            0
2046            0
2047            0
2048            0
2049            0
2050            0
2051            0
2052            0
2053            0
2054            0
2055            0
2056            0
2057            0
2058            0
2059            0
2060            0
2061            5
2062            5
2063            5
2064            5
2065            5
2066            5
2067            5
2068            5
2069            5
2070            5
2071            0
2072            0
